epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
43,414.126,1.34767,1.59771,1.82093,0.58929,0.55182,0.57361,0.3573,1.36366,1.67568,1.91453,0.0089605,0.0089605,0.0089605
44,423.523,1.34928,1.57427,1.80652,0.59685,0.6015,0.60962,0.38166,1.35617,1.53995,1.92043,0.00893575,0.00893575,0.00893575
45,433,1.3476,1.58875,1.79446,0.62099,0.55594,0.59277,0.36814,1.39731,1.57818,1.91339,0.008911,0.008911,0.008911
46,442.438,1.35564,1.56136,1.80109,0.68452,0.58608,0.65651,0.4184,1.37475,1.44553,1.90536,0.00888625,0.00888625,0.00888625
47,451.822,1.32678,1.51341,1.77837,0.61532,0.62112,0.64626,0.40458,1.33341,1.484,1.86401,0.0088615,0.0088615,0.0088615
48,461.216,1.3265,1.52402,1.7819,0.73809,0.59201,0.66193,0.41944,1.36495,1.43968,1.88984,0.00883675,0.00883675,0.00883675
49,470.871,1.3281,1.51086,1.77696,0.68597,0.59733,0.6549,0.41576,1.33641,1.41289,1.87067,0.008812,0.008812,0.008812
50,480.265,1.30983,1.51046,1.75455,0.73915,0.58352,0.67331,0.42675,1.33445,1.45001,1.86662,0.00878725,0.00878725,0.00878725
51,489.668,1.32685,1.52162,1.76815,0.72885,0.57314,0.67075,0.42642,1.38221,1.40309,1.91841,0.0087625,0.0087625,0.0087625
52,499.184,1.30882,1.49946,1.74634,0.72239,0.5754,0.66421,0.4157,1.38031,1.38063,1.91197,0.00873775,0.00873775,0.00873775
53,508.631,1.31619,1.48476,1.7596,0.66685,0.63895,0.67856,0.42775,1.32998,1.40283,1.85679,0.008713,0.008713,0.008713
54,517.981,1.30827,1.47494,1.75356,0.72288,0.58239,0.65593,0.41113,1.32603,1.53013,1.85898,0.00868825,0.00868825,0.00868825
55,527.452,1.30302,1.44823,1.7448,0.70978,0.61688,0.69096,0.44513,1.31456,1.3027,1.84882,0.0086635,0.0086635,0.0086635
56,536.835,1.30333,1.45067,1.74419,0.74715,0.58628,0.69117,0.44731,1.3725,1.35609,1.91083,0.00863875,0.00863875,0.00863875
57,546.208,1.27151,1.43232,1.72735,0.57143,0.60538,0.62408,0.40214,1.28889,1.44011,1.81224,0.008614,0.008614,0.008614
58,555.689,1.2923,1.41733,1.72991,0.72056,0.56018,0.66782,0.43065,1.35287,1.38273,1.85077,0.00858925,0.00858925,0.00858925
59,565.068,1.28553,1.41584,1.71663,0.72901,0.60175,0.67541,0.43061,1.34187,1.37484,1.86084,0.0085645,0.0085645,0.0085645
60,574.57,1.27451,1.41105,1.70448,0.73461,0.59886,0.69217,0.44612,1.33738,1.30711,1.84321,0.00853975,0.00853975,0.00853975
61,583.949,1.27323,1.40775,1.70371,0.76837,0.59291,0.70182,0.4575,1.29753,1.32567,1.7973,0.008515,0.008515,0.008515
